image_name,json_name,shape_index,bbox_left,bbox_top,bbox_right,bbox_bottom,level,level_file,resource_type,resource_type_file,relation,relation_file
sanzhan_plot_20260317_184919_0001.png,sanzhan_plot_20260317_184919_0001.json,0,0,134,141,240,lv05,level\raw\lv05\sanzhan_plot_20260317_184919_0001__s000.png,wood,resource_type\raw\wood\sanzhan_plot_20260317_184919_0001__s000.png,self,relation\raw\self\sanzhan_plot_20260317_184919_0001__s000.png
sanzhan_plot_20260317_184919_0001.png,sanzhan_plot_20260317_184919_0001.json,1,215,252,377,362,lv09,level\raw\lv09\sanzhan_plot_20260317_184919_0001__s001.png,copper,resource_type\raw\copper\sanzhan_plot_20260317_184919_0001__s001.png,ally,relation\raw\ally\sanzhan_plot_20260317_184919_0001__s001.png
sanzhan_plot_20260317_184919_0001.png,sanzhan_plot_20260317_184919_0001.json,2,451,300,631,416,lv05,level\raw\lv05\sanzhan_plot_20260317_184919_0001__s002.png,wood,resource_type\raw\wood\sanzhan_plot_20260317_184919_0001__s002.png,self,relation\raw\self\sanzhan_plot_20260317_184919_0001__s002.png
sanzhan_plot_20260317_184919_0001.png,sanzhan_plot_20260317_184919_0001.json,3,642,90,797,195,lv07,level\raw\lv07\sanzhan_plot_20260317_184919_0001__s003.png,stone,resource_type\raw\stone\sanzhan_plot_20260317_184919_0001__s003.png,neutral,relation\raw\neutral\sanzhan_plot_20260317_184919_0001__s003.png
sanzhan_plot_20260317_184919_0001.png,sanzhan_plot_20260317_184919_0001.json,4,703,60,869,155,lv05,level\raw\lv05\sanzhan_plot_20260317_184919_0001__s004.png,stone,resource_type\raw\stone\sanzhan_plot_20260317_184919_0001__s004.png,neutral,relation\raw\neutral\sanzhan_plot_20260317_184919_0001__s004.png
sanzhan_plot_20260317_184919_0001.png,sanzhan_plot_20260317_184919_0001.json,5,723,219,900,341,lv05,level\raw\lv05\sanzhan_plot_20260317_184919_0001__s005.png,food,resource_type\raw\food\sanzhan_plot_20260317_184919_0001__s005.png,ally,relation\raw\ally\sanzhan_plot_20260317_184919_0001__s005.png
sanzhan_plot_20260317_184919_0001.png,sanzhan_plot_20260317_184919_0001.json,6,895,319,1079,447,lv05,level\raw\lv05\sanzhan_plot_20260317_184919_0001__s006.png,wood,resource_type\raw\wood\sanzhan_plot_20260317_184919_0001__s006.png,neutral,relation\raw\neutral\sanzhan_plot_20260317_184919_0001__s006.png
sanzhan_plot_20260317_184919_0001.png,sanzhan_plot_20260317_184919_0001.json,7,365,351,552,471,lv05,level\raw\lv05\sanzhan_plot_20260317_184919_0001__s007.png,food,resource_type\raw\food\sanzhan_plot_20260317_184919_0001__s007.png,ally,relation\raw\ally\sanzhan_plot_20260317_184919_0001__s007.png
sanzhan_plot_20260317_184919_0001.png,sanzhan_plot_20260317_184919_0001.json,8,151,60,299,150,lv05,level\raw\lv05\sanzhan_plot_20260317_184919_0001__s008.png,iron,resource_type\raw\iron\sanzhan_plot_20260317_184919_0001__s008.png,self,relation\raw\self\sanzhan_plot_20260317_184919_0001__s008.png
sanzhan_plot_20260317_184919_0001.png,sanzhan_plot_20260317_184919_0001.json,9,244,322,425,446,lv04,level\raw\lv04\sanzhan_plot_20260317_184919_0001__s009.png,wood,resource_type\raw\wood\sanzhan_plot_20260317_184919_0001__s009.png,neutral,relation\raw\neutral\sanzhan_plot_20260317_184919_0001__s009.png
