epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6924,2.49624,3.40045,2.15756,0.05333,0.71111,0.0485,0.01812,2.16957,2.99887,1.59313,2e-05,2e-05,2e-05
2,19.3566,2.41605,3.4328,2.01444,0.06,0.8,0.06904,0.02858,1.84306,2.98763,1.42234,5.9505e-05,5.9505e-05,5.9505e-05
3,26.5074,2.02642,3.34257,1.88324,0.07167,0.95556,0.14641,0.05929,1.56437,2.98629,1.28046,9.835e-05,9.835e-05,9.835e-05
4,37.6921,1.79539,3.05313,1.63404,0.075,1,0.1798,0.09495,1.38379,2.97281,1.16909,0.000136535,0.000136535,0.000136535
5,46.6146,1.63594,2.92211,1.5441,0.075,1,0.17136,0.11167,1.17915,2.96216,1.08784,0.00017406,0.00017406,0.00017406
6,59.586,1.59221,2.50434,1.45506,0.075,1,0.17924,0.12355,0.994,2.91893,1.03135,0.000210925,0.000210925,0.000210925
7,69.0504,1.54761,2.36216,1.45078,0.075,1,0.19552,0.13283,1.00774,2.80885,1.04513,0.00024713,0.00024713,0.00024713
8,80.0804,1.31614,1.91066,1.27094,0.075,1,0.60266,0.46056,0.96763,2.52919,1.0217,0.000282675,0.000282675,0.000282675
9,93.876,1.27983,1.57715,1.25383,0.075,1,0.84557,0.59019,1.01484,2.3541,1.0459,0.00031756,0.00031756,0.00031756
10,103.578,1.20032,1.33682,1.21767,0.90507,0.4238,0.92754,0.59328,1.08463,2.13716,1.09017,0.000351785,0.000351785,0.000351785
11,111.835,1.28075,1.2853,1.27077,0.89651,0.77019,0.93889,0.60945,1.05291,1.91397,1.09258,0.00038535,0.00038535,0.00038535
12,118.791,1.32434,1.19673,1.21928,0.83866,0.9242,0.94448,0.68566,1.0095,1.71736,1.05989,0.000418255,0.000418255,0.000418255
13,130.013,1.28878,1.23542,1.24223,0.8001,0.95556,0.94388,0.7127,0.99781,1.58541,1.04685,0.0004505,0.0004505,0.0004505
14,138.19,1.2201,1.2191,1.24515,0.8124,0.96244,0.9397,0.67846,1.06066,1.53804,1.06429,0.000482085,0.000482085,0.000482085
15,146.361,1.18349,1.07567,1.13317,0.82157,0.95556,0.94743,0.5979,1.28591,1.53728,1.21783,0.00051301,0.00051301,0.00051301
16,154.488,1.21638,1.07199,1.18186,0.87687,0.95556,0.94472,0.5986,1.29933,1.51966,1.20998,0.000543275,0.000543275,0.000543275
17,160.831,1.29091,1.23581,1.30916,0.8842,0.84444,0.90174,0.64571,1.04996,1.65133,1.06159,0.00057288,0.00057288,0.00057288
18,166.885,1.26421,1.02576,1.17372,0.873,0.45849,0.76547,0.58501,0.97498,2.28774,1.12163,0.000601825,0.000601825,0.000601825
19,172.347,1.20399,1.02384,1.16628,0.86793,0.29226,0.64816,0.4597,1.03117,2.70422,1.22764,0.00063011,0.00063011,0.00063011
20,178.044,1.01606,0.95244,1.09779,0.83346,0.33366,0.65222,0.49858,0.98292,2.63713,1.21198,0.000657735,0.000657735,0.000657735
21,184.838,1.03429,0.95125,1.09105,0.8826,0.50138,0.63571,0.4996,0.94209,2.47632,1.21417,0.0006847,0.0006847,0.0006847
22,193.715,1.05461,0.96075,1.08584,0.86855,0.46667,0.56763,0.45971,0.98401,2.62164,1.26805,0.000711005,0.000711005,0.000711005
23,201.505,0.98229,0.89582,1.06723,0.80354,0.27296,0.4864,0.39039,1.05187,2.87814,1.31138,0.00073665,0.00073665,0.00073665
24,208.018,0.93654,0.84522,1.0319,0.71278,0.16597,0.45549,0.35544,1.13487,3.0676,1.36653,0.000761635,0.000761635,0.000761635
25,215.114,0.95414,0.82672,1.03171,0.75639,0.26667,0.46448,0.3545,1.18373,3.02509,1.38552,0.00078596,0.00078596,0.00078596
26,223.894,1.03004,0.95241,1.13539,0.71392,0.2776,0.51303,0.38013,1.24997,2.96332,1.41839,0.000809625,0.000809625,0.000809625
27,234.304,0.9939,0.808,1.0787,0.7077,0.32309,0.52479,0.39067,1.28286,2.96695,1.43005,0.00083263,0.00083263,0.00083263
28,240.891,0.93295,0.78637,1.03326,0.7077,0.32309,0.52479,0.39067,1.28286,2.96695,1.43005,0.000854975,0.000854975,0.000854975
29,248.645,0.9914,0.7809,1.08019,0.75766,0.42222,0.67837,0.52412,1.10931,2.38913,1.20542,0.00087666,0.00087666,0.00087666
30,255.759,0.86769,0.71978,1.03187,0.84114,0.58848,0.77196,0.60443,0.98746,2.01452,1.10128,0.000897685,0.000897685,0.000897685
31,261.765,0.95525,0.95274,1.12637,0.84114,0.58848,0.77196,0.60443,0.98746,2.01452,1.10128,0.00091805,0.00091805,0.00091805
32,267.892,0.89102,0.78183,1.08413,0.8119,0.62222,0.80605,0.63138,0.92999,1.76401,1.0521,0.000937755,0.000937755,0.000937755
33,273.803,1.01093,0.7744,1.07875,0.77526,0.68993,0.81554,0.63819,0.86937,1.64874,1.0217,0.0009568,0.0009568,0.0009568
