epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.81145,0.85752,0.33333,1,0.96261,1.667e-05,1.667e-05,1.667e-05
2,3.62826,0.84254,0.33333,1,0.8865,4.93911e-05,4.93911e-05,4.93911e-05
3,4.83203,0.75509,0.33333,1,0.76442,8.12871e-05,8.12871e-05,8.12871e-05
4,5.96691,0.67112,0.5,1,0.62163,0.000112358,0.000112358,0.000112358
5,7.37228,0.58223,0.83333,1,0.49086,0.000142604,0.000142604,0.000142604
6,8.65967,0.45991,0.83333,1,0.39376,0.000172024,0.000172024,0.000172024
7,9.97471,0.37824,0.83333,1,0.32863,0.000200619,0.000200619,0.000200619
8,11.3897,0.32874,0.83333,1,0.29207,0.000228389,0.000228389,0.000228389
9,12.6541,0.27809,0.83333,1,0.26135,0.000255334,0.000255334,0.000255334
10,13.898,0.2506,0.83333,1,0.21895,0.000281454,0.000281454,0.000281454
11,15.1467,0.21186,0.83333,1,0.18239,0.000306749,0.000306749,0.000306749
12,16.5322,0.21772,0.83333,1,0.14791,0.000331218,0.000331218,0.000331218
13,17.5304,0.12772,1,1,0.10668,0.000354863,0.000354863,0.000354863
14,18.8905,0.10274,1,1,0.06889,0.000377682,0.000377682,0.000377682
15,20.236,0.13758,1,1,0.04252,0.000399676,0.000399676,0.000399676
16,21.4244,0.07646,1,1,0.02274,0.000420845,0.000420845,0.000420845
17,22.5914,0.10318,1,1,0.01326,0.000441188,0.000441188,0.000441188
18,23.7635,0.04802,1,1,0.00854,0.000460707,0.000460707,0.000460707
19,24.8353,0.05735,1,1,0.00602,0.0004794,0.0004794,0.0004794
20,25.9904,0.04581,1,1,0.004,0.000497268,0.000497268,0.000497268
21,27.1454,0.03588,1,1,0.00267,0.000514311,0.000514311,0.000514311
22,28.4603,0.04958,1,1,0.00152,0.000530529,0.000530529,0.000530529
23,29.8394,0.02717,1,1,0.00093,0.000545922,0.000545922,0.000545922
24,31.0608,0.05074,1,1,0.00069,0.000560489,0.000560489,0.000560489
25,32.304,0.03987,1,1,0.00068,0.000574231,0.000574231,0.000574231
26,33.4553,0.01844,1,1,0.00063,0.000587149,0.000587149,0.000587149
27,34.5739,0.01479,1,1,0.00056,0.000599241,0.000599241,0.000599241
28,35.607,0.01579,1,1,0.00053,0.000610507,0.000610507,0.000610507
