epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.54206,1.89518,0.45,0.875,1.62962,9.09e-05,9.09e-05,9.09e-05
2,15.987,1.51699,0.55,1,1.1635,0.000188528,0.000188528,0.000188528
3,26.7364,1.11901,0.675,1,0.83636,0.000283681,0.000283681,0.000283681
4,34.9076,0.81699,0.8,1,0.53973,0.000376359,0.000376359,0.000376359
5,42.3066,0.5437,0.875,0.975,0.42292,0.000466562,0.000466562,0.000466562
6,50.0352,0.42201,0.975,0.975,0.33394,0.000554291,0.000554291,0.000554291
7,56.7855,0.27588,0.975,0.975,0.32495,0.000639545,0.000639545,0.000639545
8,64.3365,0.19907,0.975,1,0.3276,0.000722324,0.000722324,0.000722324
9,73.3769,0.12251,0.975,1,0.28899,0.000802629,0.000802629,0.000802629
10,82.8333,0.10753,0.975,1,0.41954,0.00080776,0.00080776,0.00080776
11,93.1077,0.11289,0.975,1,0.40246,0.000796511,0.000796511,0.000796511
12,100.419,0.10512,0.975,0.975,0.34612,0.000785262,0.000785262,0.000785262
13,107.769,0.09365,0.975,0.975,0.36501,0.000774013,0.000774013,0.000774013
14,115.335,0.09071,0.975,0.975,0.43416,0.000762765,0.000762765,0.000762765
15,122.862,0.06565,0.975,1,0.40561,0.000751516,0.000751516,0.000751516
16,131.045,0.09227,0.975,1,0.4775,0.000740267,0.000740267,0.000740267
17,137.696,0.06823,0.975,1,0.46691,0.000729018,0.000729018,0.000729018
18,146.984,0.05298,0.975,1,0.37201,0.000717769,0.000717769,0.000717769
19,154.058,0.10742,0.975,1,0.368,0.00070652,0.00070652,0.00070652
20,161.562,0.03389,0.975,1,0.34932,0.000695271,0.000695271,0.000695271
21,171.734,0.05819,0.975,1,0.35747,0.000684022,0.000684022,0.000684022
22,180.671,0.04494,0.975,1,0.38258,0.000672774,0.000672774,0.000672774
23,190.111,0.05815,0.975,1,0.38003,0.000661525,0.000661525,0.000661525
