epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.51191,1.22364,0.64286,1,0.95344,0.000125,0.000125,0.000125
2,16.4467,0.9188,0.66667,1,0.68431,0.000259252,0.000259252,0.000259252
3,23.5232,0.59653,0.90476,1,0.36,0.0003901,0.0003901,0.0003901
4,31.2258,0.3473,0.95238,1,0.19848,0.000517545,0.000517545,0.000517545
5,39.0419,0.21208,0.97619,1,0.17453,0.000641587,0.000641587,0.000641587
6,46.2304,0.16781,0.97619,1,0.20078,0.000762227,0.000762227,0.000762227
7,53.8275,0.11366,0.97619,1,0.22285,0.000879462,0.000879462,0.000879462
8,64.0489,0.08894,0.97619,1,0.29228,0.000993295,0.000993295,0.000993295
9,71.1899,0.0729,0.97619,1,0.37657,0.00110373,0.00110373,0.00110373
10,79.2283,0.05847,0.97619,1,0.38962,0.00111078,0.00111078,0.00111078
11,88.3524,0.0501,0.97619,1,0.3532,0.00109531,0.00109531,0.00109531
12,97.9286,0.05911,0.97619,1,0.35237,0.00107984,0.00107984,0.00107984
13,106.754,0.06081,0.97619,1,0.32467,0.00106437,0.00106437,0.00106437
14,114.872,0.07175,0.97619,1,0.29371,0.00104891,0.00104891,0.00104891
15,126.108,0.03328,0.97619,1,0.29906,0.00103344,0.00103344,0.00103344
16,134.441,0.06412,0.97619,1,0.32745,0.00101797,0.00101797,0.00101797
17,142.109,0.02324,0.97619,1,0.33892,0.0010025,0.0010025,0.0010025
18,150.155,0.03788,0.97619,1,0.3482,0.000987031,0.000987031,0.000987031
19,157.247,0.05234,0.97619,1,0.36584,0.000971562,0.000971562,0.000971562
20,164.455,0.02222,0.97619,1,0.37667,0.000956094,0.000956094,0.000956094
