epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.87646,1.63076,0.425,1,1.48304,0.0001111,0.0001111,0.0001111
2,16.9994,1.31425,0.9,1,0.90919,0.000230423,0.000230423,0.000230423
3,24.5855,0.89504,0.95,1,0.37219,0.000346721,0.000346721,0.000346721
4,32.1852,0.55643,0.95,1,0.17258,0.000459994,0.000459994,0.000459994
5,39.6973,0.30452,0.925,1,0.15798,0.000570243,0.000570243,0.000570243
6,47.0019,0.24058,0.925,1,0.14082,0.000677467,0.000677467,0.000677467
7,54.3311,0.17448,0.95,1,0.10072,0.000781666,0.000781666,0.000781666
8,64.9385,0.11843,0.975,1,0.09396,0.000882841,0.000882841,0.000882841
9,72.7566,0.13777,0.975,1,0.09392,0.000980991,0.000980991,0.000980991
10,80.4276,0.1218,0.925,1,0.178,0.000987262,0.000987262,0.000987262
11,89.4866,0.08896,0.975,1,0.10094,0.000973514,0.000973514,0.000973514
12,99.5761,0.11182,0.95,1,0.06938,0.000959765,0.000959765,0.000959765
13,108.466,0.09559,0.975,1,0.08414,0.000946016,0.000946016,0.000946016
14,117.432,0.08852,0.95,1,0.08187,0.000932268,0.000932268,0.000932268
15,129.859,0.06117,0.975,1,0.07444,0.000918519,0.000918519,0.000918519
16,139.381,0.05251,0.95,1,0.07364,0.000904771,0.000904771,0.000904771
17,147.149,0.06798,0.95,1,0.08824,0.000891022,0.000891022,0.000891022
18,155.698,0.04229,0.975,1,0.07068,0.000877273,0.000877273,0.000877273
19,163.268,0.05939,0.975,1,0.05819,0.000863525,0.000863525,0.000863525
20,171.298,0.04056,0.975,1,0.05688,0.000849776,0.000849776,0.000849776
21,183.681,0.0305,0.975,1,0.06681,0.000836027,0.000836027,0.000836027
22,191.711,0.03566,1,1,0.02706,0.000822279,0.000822279,0.000822279
23,199.2,0.05374,1,1,0.03393,0.00080853,0.00080853,0.00080853
24,209.035,0.03787,0.95,1,0.05949,0.000794782,0.000794782,0.000794782
25,218.969,0.03283,0.95,1,0.09101,0.000781033,0.000781033,0.000781033
26,228.592,0.05205,0.975,1,0.07762,0.000767284,0.000767284,0.000767284
27,236.77,0.02671,0.975,1,0.05572,0.000753536,0.000753536,0.000753536
28,247.376,0.03117,0.975,1,0.05956,0.000739787,0.000739787,0.000739787
29,254.784,0.07708,0.975,1,0.06982,0.000726038,0.000726038,0.000726038
30,263.1,0.04362,0.975,1,0.07544,0.00071229,0.00071229,0.00071229
31,273.349,0.02332,0.975,1,0.07395,0.000698541,0.000698541,0.000698541
32,283.325,0.06392,0.975,1,0.07361,0.000684793,0.000684793,0.000684793
33,292.437,0.03395,0.975,1,0.05651,0.000671044,0.000671044,0.000671044
34,303.414,0.04921,0.95,1,0.07452,0.000657295,0.000657295,0.000657295
35,313.147,0.03787,0.975,1,0.0644,0.000643547,0.000643547,0.000643547
36,321.149,0.03848,0.975,1,0.06523,0.000629798,0.000629798,0.000629798
37,329.295,0.03604,0.975,1,0.10015,0.000616049,0.000616049,0.000616049
